comment_id,text,timestamp,user_info,location_free_text,lat,lon,policy_section,source,stance,type_label,priority,district,text_clean,district_filled,clean_text
596ca458-5464-4b54-a760-080a6f9b8b16,Question: Who will be responsible for enforcement at the district level?,2024-01-19T19:38:42,user1629@example.com,Guwahati,8.595944,72.372759,Healthcare,whatsapp,support,question,medium,Guwahati,question: who will be responsible for enforcement at the district level?,Guwahati,question who will be responsible for enforcement at the district level
f2e190d2-0a07-418a-a8cd-1b8f7ee5f1db,Add a monitoring committee with district representation. Thank you for considering.,2025-05-25T21:06:55,user4393@example.com,Mumbai,24.949887,80.074521,Education,portal,neutral,suggestion,low,Mumbai,add a monitoring committee with district representation. thank you for considering.,Mumbai,add a monitoring committee with district representation for considering
839929a2-ce26-4702-93d6-d4bf994a6220,Neutral. Could you share examples from other districts where this worked? धन्यवाद।,2024-03-11T22:13:04,user2278@example.com,Visakhapatnam,13.787759,69.59584,Environment,social_media,neutral,other,medium,Visakhapatnam,neutral. could you share examples from other districts where this worked? धन्यवाद।,Visakhapatnam,neutral could you share examples from other districts where this worked
a6f1ad6f-1191-444e-92c8-f5b8a549933b,I fully support this policy. It will benefit our Housing sector and help many families.,2025-01-24T23:24:49,user2657@example.com,Varanasi,15.589109,87.790467,Housing,portal,support,question,medium,Varanasi,i fully support this policy. it will benefit our housing sector and help many families.,Varanasi,i fully support this policy it will benefit our housing sector and help many families
fcdf5fe4-9b51-46a1-829d-afd711c8b4e7,"Support — good move. Please implement it quickly. Regards, citizen.",2025-06-06T23:20:59,user3510@example.com,Lucknow,10.792606,82.89978,Energy,whatsapp,support,question,medium,Lucknow,"support — good move. please implement it quickly. regards, citizen.",Lucknow,support good move please implement it quickly citizen
12f9f487-f1c1-4700-b366-2cac76aa79ab,Please consider a pilot program in rural Kolkata before scaling up. धन्यवाद।,2025-08-25T13:56:02,user95@example.com,"Kolkata, near river",27.922428,78.582287,Urban Planning,portal,support,suggestion,medium,Kolkata,please consider a pilot program in rural kolkata before scaling up. धन्यवाद।,Kolkata,please consider a pilot program in rural kolkata before scaling up
3f7027ad-a2c7-4697-971e-fe842a66589c,The draft ignores existing local problems; please revise.,2024-05-19T10:30:46,user3064@example.com,Mumbai,20.506004,84.833387,Housing,email,support,complaint,medium,Mumbai,the draft ignores existing local problems; please revise.,Mumbai,the draft ignores existing local problems please revise
ade14e88-1890-44c5-8d30-c6d0b942d499,The draft ignores existing local problems; please revise.,2024-12-06T07:43:25,user567@example.com,Hyderabad,25.560192,86.938989,Education,whatsapp,oppose,complaint,low,Hyderabad,the draft ignores existing local problems; please revise.,Hyderabad,the draft ignores existing local problems please revise
bd6749d3-e11d-48b6-819e-65b2f51abd5c,मैं इस नीति का समर्थन करता/करती हूँ — यह स्थानीय लोगों के लिए अच्छा होगा।,2024-09-18T13:13:25,user4240@example.com,Bhopal,22.258979,75.979846,Agriculture,social_media,support,other,high,Bhopal,मैं इस नीति का समर्थन करता/करती हूँ — यह स्थानीय लोगों के लिए अच्छा होगा।,Bhopal,
5de11fbb-0d58-4725-8d42-5b75d9249175,"Question: Who will be responsible for enforcement at the district level? Location: Lucknow district, near main market. धन्यवाद।",2024-12-05T22:03:03,user4418@example.com,Lucknow,14.60857,78.283122,Education,email,oppose,question,medium,Lucknow,"question: who will be responsible for enforcement at the district level? location: lucknow district, near main market. धन्यवाद।",Lucknow,question who will be responsible for enforcement at the district level location lucknow district near main market
